date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:50%20GMT	http://jmvtechnologies.com.br/cdn/shop/t/6/assets/search-form.js?v=133129549252120666541732971745	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/search-form100c.js	(from https://jmvtechnologies.com.br/)
11:26:51	994/994	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2029%20Jun%202025%2013:05:16%20GMT	https://jmvtechnologies.com.br/cdn/shop/t/6/assets/search-form.js?v=133129549252120666541732971745	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/search-form100c.js	(from https://jmvtechnologies.com.br/)
11:26:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:51%20GMT	http://jmvtechnologies.com.br/cdn/shop/t/6/assets/animations.js?v=88693664871331136111732971744	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/animationsc261.js	(from https://jmvtechnologies.com.br/)
11:26:51	2929/2929	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2029%20Jun%202025%2013:05:16%20GMT	https://jmvtechnologies.com.br/cdn/shop/t/6/assets/animations.js?v=88693664871331136111732971744	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/animationsc261.js	(from https://jmvtechnologies.com.br/)
11:26:52	4019/4019	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2029%20Jun%202025%2014:26:51%20GMT	https://jmvtechnologies.com.br/checkouts/internal/preloads.js?locale=pt-BR	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/checkouts/internal/preloads4c33.js	(from https://jmvtechnologies.com.br/)
11:26:52	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2020%20May%202025%2011:24:34%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://jmvtechnologies.com.br/)
11:26:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:52%20GMT	http://jmvtechnologies.com.br/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	(from https://jmvtechnologies.com.br/)
11:26:52	12962/12962	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20Jun%202025%2012:28:45%20GMT	https://jmvtechnologies.com.br/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	(from https://jmvtechnologies.com.br/)
11:26:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:52%20GMT	http://jmvtechnologies.com.br/cdn/shop/t/6/compiled_assets/scripts.js?94	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/compiled_assets/scriptsf4b9.js	(from https://jmvtechnologies.com.br/)
11:26:53	277337/277337	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2029%20Jun%202025%2014:22:56%20GMT	https://jmvtechnologies.com.br/cdn/shopifycloud/portable-wallets/latest/portable-wallets.pt-br.js	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shopifycloud/portable-wallets/latest/portable-wallets.pt-br.js	(from https://jmvtechnologies.com.br/)
11:26:53	3261/3261	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2029%20Jun%202025%2013:05:16%20GMT	https://jmvtechnologies.com.br/cdn/shop/t/6/compiled_assets/scripts.js?94	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/compiled_assets/scriptsf4b9.js	(from https://jmvtechnologies.com.br/)
11:26:53	12290/12290	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Jun%202025%2014:18:27%20GMT	https://jmvtechnologies.com.br/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	(from https://jmvtechnologies.com.br/)
11:26:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:53%20GMT	http://jmvtechnologies.com.br/cdn/fonts/assistant/assistant_n4.bcd3d09dcb631dec5544b8fb7b154ff234a44630.woff2?h1=am12LXRlY2hub2xvZ2llcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=am12dGVjaG5vbG9naWVzLmNvbS5icg&hmac=348f8335f2c6480ecd4bb4fba1819643cf905a4234a7bca7d2add54f5539ad1f	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/fonts/assistant/assistant_n4.bcd3d09dcb631dec5544b8fb7b154ff234a446304e08.woff2	(from https://jmvtechnologies.com.br/)
11:26:54	17000/17000	---M--	200	added ('OK')	font/woff2	date:Tue,%2013%20May%202025%2009:02:02%20GMT	https://jmvtechnologies.com.br/cdn/fonts/assistant/assistant_n4.bcd3d09dcb631dec5544b8fb7b154ff234a44630.woff2?h1=am12LXRlY2hub2xvZ2llcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=am12dGVjaG5vbG9naWVzLmNvbS5icg&hmac=348f8335f2c6480ecd4bb4fba1819643cf905a4234a7bca7d2add54f5539ad1f	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/fonts/assistant/assistant_n4.bcd3d09dcb631dec5544b8fb7b154ff234a446304e08.woff2	(from https://jmvtechnologies.com.br/)
11:26:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:54%20GMT	http://jmvtechnologies.com.br/cdn/fonts/assistant/assistant_n4.a2d012304becc2a26f1ded1acc136fcab85c9afd.woff?h1=am12LXRlY2hub2xvZ2llcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=am12dGVjaG5vbG9naWVzLmNvbS5icg&hmac=1d8d580c818f60793585e27d1cc2c55bf5e1637613eb53f9228a493cc0249c1d	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/fonts/assistant/assistant_n4.a2d012304becc2a26f1ded1acc136fcab85c9afd14f1.woff	(from https://jmvtechnologies.com.br/)
